,FEATURE REQUEST,DuplicatedCode,LargeClass,LongMethod,ExtractInterface,ExtractMethod,ExtractSuperclass,InlineMethod,MoveAndRenameClass,MoveAttribute,MoveClass,MoveMethod,PullUpAttribute,PullUpMethod,PushDownAttribute,PushDownMethod,RenameClass,RenameMethod
0,add  relmetadataprovider  parameter  standard  planner  program  program  class  static  method  standard  used  default  calcite  driver  far  calcitephoenix  using  sql  prepare  logic  slight  customization  like  plugging  set  rule  static  standard  though  work  properly  phoenix  since  subprogram  return  initiated  default  relmetadataprovider  phoenix  need  plugin  otherwise  could  work  code  program  convert  filter  project  link  calcs  public  static  final  program  calcprogram  hepcalcrules  true  new  defaultrelmetadataprovider  program  expands  subqueries  public  static  final  program  subqueryprogram  hep  immutablelistofreloptrule  subqueryremoverulefilter  subqueryremoveruleproject  subqueryremoverulejoin  true  new  defaultrelmetadataprovider  code,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,allowing  sqloperator  overridden  validation  calcite  allows  function  overridden  validation  step  specific  user  provide  sqloperatortable  validation  step  sqloperatortable  called  method  lookupoperatoroverloads  get  overriding  function  however  far  sqloperator  eg  etc  mechanism  yet  since  system  eg  apache  drill  would  flexible  typechecks  sqloperators  operand  mechanism  necessary  system  pas  validation  step,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,add  support  translate  expession  fromstring  tostring  calcite  follows  standard  sql  reference  sql  reference  isoiec  907522011e  section  630  character  transliteration  translate  left  paren  character  value  expression  using  transliteration  name  right  paren  need  add  support  translate  expession  fromstring  tostring  alternative  syntax  ex  add  oraclestyle  translate  function  sqlstdoperatortable  call  say  translate3  since  3  parameter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,extend  simplify  reducing  expression  would  like  cover  case  expression  simplification  x5  x  null  x5  x5  x  null  satisfiable  x5  x5  satisfiable,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,add  support  timestampadd  timestampdiff  function  calling  timestampadd  timestampdiff  first  parameter  sqltsimicrosecond  sqltsifracsecond  deprecated  leave  older  version  compatibility  sqltsisecond  sqltsiminute  sqltsihour  sqltsiday  sqltsiweek  sqltsimonth  sqltsiquarter  sqltsiyear  ex  timestampaddsecond  1  currentdatetime  calcite  throw  error  caused  orgapachecalcitesqlparsersqlparseexception  encountered  second  line  1  column  25  expecting  one,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
5,add  unary  operator  support  isnull  isnotnull  reximplicationchecker  currently  support  sql  comparison  operator  sqlkindcompare  checking  one  predicate  implies  another  using  reximplicationchecker  would  like  extend  couple  unary  operator  based  user  request  calcite1104  isnull  isnotnull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,add  projectremoverule  preprocessing  program  materialization  substitution  volcanoplanner  apply  simple  preprocessing  hep  program  normalize  target  query  rels  materialization  substitution  currently  program  run  two  rule  filterprojecttransposerule  projectmergerule  need  extra  rule  projectremoverule  phoenix  use  case  secondary  index  modeled  materialized  view  defined  view  materialized  view  queryrel  may  identity  projection  introduced  view,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7,send  back  errorresponse  failure  parse  request  trying  debug  issue  asf  jenkins  noticed  serialization  error  result  errorresponse  sent  back  client  serverside  stacktrace  lost,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,improve  twolevel  column  structure  handling  calcite  support  nested  column  structure  parsing  validation  representing  innerlevel  column  rexfieldaccess  based  rexinputref  meanwhile  flatten  inner  level  structure  wildcard  expansion  would  cause  unsupportedoperationexception  avatica  idea  take  account  nested  structure  column  resolving  flatten  structure  translating  relnoderexnode  example  table  structure  defined  codevarchar  k0  varchar  c1  recordtypeinteger  c0  integer  c1  f0  recordtypeinteger  c0  integer  c2  f1code  viewed  flat  type  like  codevarchar  k0  varchar  c1  integer  f0c0  integer  f0c1  integer  f1c0  integer  f1c2code  1  column  reference  k0  translated  0  2  column  reference  f0c1  translated  3  3  wildcard  translated  0  1  2  3  4  5  4  complexcolumn  wildcard  f1  translated  2  3  would  like  resolve  column  based  following  rule  consider  suffix  part  qualified  name  mean  table  resolving  already  done  time  twopart  column  name  matched  firstlevel  column  name  secondlevel  column  name  example  f1c0  corresponds  4  f1x  throw  column  found  error  b  singlepart  column  name  matched  nonnested  column  first  match  matched  secondlevel  column  name  example  c1  matched  1  instead  3  since  nonnested  column  higher  priority  c2  matched  5  c0  lead  ambiguous  column  error  since  exists  f0  f1  c  would  also  like  way  defining  default  firstlevel  column  precedence  column  resolving  firstlevel  column  example  f0  defined  default  c0  cause  ambiguous  column  error  instead  matched  2  reference  firstlevel  column  without  wildcard  allowed  eg  f1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
9,add  new  rule  materialised  view  optimisation  join  query  keep  track  adding  new  rule  would  enable  optimisation  using  view  join  query  instance  materialised  view  table  x  named  xpart  defined  query  select  x  xa  20160101  expect  following  query  optimised  xpart  select  x  inner  join  xid  yxid  inner  join  z  yidzyid  xa  20160202  yb  bangalore  following  change  done  quark  planning  pull  calcite  1  add  new  rule  filter  tablescan  basically  predicate  pushed  join  onto  table  scan  new  rule  check  optimised  materialised  view  httpsgithubcomqubolequarkblobmasteroptimizersrcmainjavacomqubolequarkplannermaterializedviewfilterscanrulejava  2  add  new  unify  rule  materialisedsubstitutionvisitor  httpsgithubcomquboleincubatorcalcitecommit2d031d14d23810291377d92dc5ef2eaa515d35b7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,add  method  sqloperatorbinding  determine  whether  operand  literal  drill  type  inference  decimal  colorred  literal  color  treated  double  case  however  sqloperatorbinding  method  tell  caller  operand  literal  jira  proposes  adding  helper  method,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,add  view  name  viewexpander  viewexpanderexpandview  call  already  schema  path  contains  view  view  name  context  useful  also  know  name  view  expanded  current  call  code  relroot  expandview  reldatatype  rowtype  string  querystring  schemaplus  rootschema  liststring  schemapath  code  proposed  code  relroot  expandview  reldatatype  rowtype  string  querystring  schemaplus  rootschema  liststring  schemapath  string  viewname  code,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
